"CASE","language","scenario","question","text","robot_label"
513,"EN","am","open_1","it could be very helpful for patients going through recovery, etc","Assisting with Mobility"
513,"EN","am","open_2","it would need to careful, and safe","Assisting with Mobility"
513,"EN","am","open_3","none","Assisting with Mobility"
513,"EN","bed","open_1","this looks like it could be dangerous, and possibly end up hurting someone","Helping Patients into Bed"
513,"EN","bed","open_2","it looks unsafe, and not nearly as gentle as it should be","Helping Patients into Bed"
513,"EN","bed","open_3","I would only be afraid of it hurting, or dropping someone.  or malfunctioning, getting stuck, etc","Helping Patients into Bed"
513,"EN","ds","open_1","it would free up a person to work on something else","Delivering Supplies"
513,"EN","ds","open_2","none","Delivering Supplies"
513,"EN","ds","open_3","none","Delivering Supplies"
513,"EN","mvs","open_1","I think it could be great in most cases.  I would worry that some children might be scared of it, and some older people may be confused.","Monitoring Vital Signs"
513,"EN","mvs","open_2","I would worry it could be hacked","Monitoring Vital Signs"
513,"EN","mvs","open_3","making sure patient information is secure","Monitoring Vital Signs"
514,"EN","am","open_1","I would accept the use of mobility-assistance robots in caregiving and rehabilitation tasks because they can significantly improve both patient outcomes and caregiver safety. These robots provide physical support to patients recovering from strokes or injuries, helping them practice walking, maintain proper posture, and reduce the risk of falls. This support allows caregivers to focus on supervising and guiding therapy rather than performing physically demanding lifts or transfers, which can reduce fatigue and injury.","Assisting with Mobility"
514,"EN","am","open_2","One key concern is patient safety. If the robot malfunctions, applies too much force, or misjudges a patient’s movement, it could cause falls, injuries, or delays in rehabilitation. Another concern is overreliance on technology, which might reduce direct interaction between patients and caregivers. Human guidance, encouragement, and feedback are critical in rehabilitation, and robots cannot fully replicate these aspects.

Privacy and data security are also important, as these robots often collect detailed information about a patient’s movements and physical abilities. Ensuring that this data is securely stored and used appropriately is essential.

Finally, ethical considerations around autonomy and informed consent arise. Patients should fully understand how the robot works, its limitations, and their right to refuse or limit its use. Proper training for caregivers and continuous monitoring can help mitigate these risks while ensuring safe and ethical implementation.","Assisting with Mobility"
